FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc
78,E01003015,Lambeth 002A,0.608763061,1.328051951,0.457946197,0.517052632
79,E01003016,Lambeth 036C,1.91620885,1.720672538,1.10986008,0.509693878
80,E01003017,Lambeth 036D,2.175878179,1.759397527,1.234575059,0.464655172
81,E01003097,Lambeth 006A,0.920664691,1.736896842,0.532937087,0.52015873
82,E01003098,Lambeth 005A,0.672181299,1.670622421,0.402703432,0.499180328
83,E01003101,Lambeth 003A,0.512073252,1.490737869,0.335912045,0.518863636
84,E01003102,Lambeth 004A,1.073674226,1.688337269,0.636626473,0.494375
85,E01003104,Lambeth 004C,1.073354815,1.671387532,0.643382058,0.4888
86,E01003105,Lambeth 003B,1.053950327,1.527498524,0.679883379,0.519509804
87,E01003106,Lambeth 003C,0.565448936,1.415937077,0.400077929,0.51884058
88,E01003107,Lambeth 003D,0.458197296,1.41955826,0.322609117,0.508024691
89,E01003108,Lambeth 002B,0.643008937,1.400674815,0.458570368,0.535373134
90,E01003110,Lambeth 002C,0.749453691,1.39514317,0.53735367,0.50423913
91,E01003111,Lambeth 002D,0.780394563,1.423487347,0.549242272,0.511111111
92,E01003112,Lambeth 002E,0.866863478,1.569619399,0.552704041,0.492313433
93,E01003929,Southwark 002B,3.164953588,1.747927694,1.810468532,0.479227273
94,E01003930,Southwark 034A,0.940395414,1.54457448,0.610475312,0.513859649
95,E01003932,Southwark 034B,0.70349047,1.521545977,0.462706192,0.510084746
96,E01003933,Southwark 034C,1.06860077,1.449828359,0.744161339,0.524505495
97,E01003934,Southwark 002C,1.599515652,1.716125013,0.919205006,0.485464481
98,E01003935,Southwark 002D,2.445302582,1.776493821,1.371270317,0.505833333
99,E01003936,Southwark 009A,0.677002595,1.595436143,0.421567537,0.534623656
100,E01003937,Southwark 009B,0.794313524,1.639083137,0.485001244,0.541428571
101,E01003938,Southwark 006A,0.955530998,1.6569216,0.570191994,0.53673913
102,E01003939,Southwark 002E,2.245119495,1.715048457,1.300406811,0.505530726
103,E01003940,Southwark 006B,0.637422928,1.558594336,0.4088141,0.524918033
104,E01003941,Southwark 006C,0.601940867,1.481221558,0.402912459,0.500204082
105,E01003942,Southwark 006D,0.516609302,1.487538564,0.347586301,0.517868852
106,E01003943,Southwark 009C,0.72195012,1.653585205,0.437061225,0.524823529
107,E01003960,Southwark 012A,0.523340275,1.28279292,0.406734048,0.51266055
