FID,OBJECTID,grid_id,borough,laei_zone,Area,CO2_km2,NOx_km2,PM10_km2,PM25_km2,score_perc,accessibility,WDI,HSA
48,3381,3381,Lambeth,Inner,0.217964902,142202.2892,406.5383873,46.16505388,24.13522742,0.525433071,0.345281755,1.425798211,0.491600145
71,3404,3404,City of Westminster,Inner,0.567334304,129118.2744,398.7350681,37.9637784,20.22778821,0.549595016,0.486217408,1.211964064,0.610985997
19,3172,3172,Wandsworth,Inner,0.054337019,134867.802,386.520842,44.12007522,22.90247679,0.471904762,0.213893803,1.835212908,0.392627352
53,3386,3386,City,Central,0.001520041,146471.832,385.4757381,59.52320797,31.78306742,0.521666667,1.282966706,1.439497495,1.847762022
77,3410,3410,City of Westminster,Central,1.000290778,118549.1348,364.8316902,31.57163303,18.27734132,0.500829817,3.419770796,1.362601561,4.561550395
82,3415,3415,City of Westminster,Inner,0.650384682,106622.8861,360.3729848,32.39250515,17.91626296,0.517591093,1.219910501,1.410401172,1.694815848
35,3368,3368,City,Central,0.010896577,116540.092,352.540742,32.37789271,18.03523791,0.480909091,1.396777546,1.526647844,2.134232663
125,3458,3458,Camden,Central,0.804039803,114477.1312,352.3050535,29.9638309,17.08674678,0.513678344,2.661987141,1.433156563,3.754293188
31,3329,3329,City of Westminster,Inner,0.188498889,100033.8986,342.3277343,36.78205417,20.19488768,0.550806452,0.550969646,1.466342962,0.802024479
121,3454,3454,City,Central,0.62038584,101442.4207,335.7443838,31.03271948,17.6579056,0.475805169,1.792671954,1.51025836,2.711844656
18,3171,3171,Kensington and Chelsea,Inner,0.149075269,122077.4823,333.1035454,40.02738728,20.77543995,0.55,0.158314037,1.045696389,0.166610956
109,3442,3442,City,Central,0.546575912,103449.8316,329.830688,28.56231127,16.2907455,0.479535398,2.006114131,1.507474094,3.007590977
127,3460,3460,City,Central,0.905671158,91685.69115,329.1101298,25.32135442,14.66909049,0.480434153,1.899759817,1.515768838,2.828811375
33,3366,3366,Camden,Central,0.064760314,102538.9546,316.2583981,29.20629062,16.31305587,0.507297297,1.538515025,1.495401668,2.294723485
115,3448,3448,City of Westminster,Central,0.998566498,97996.81791,312.972815,27.78841405,16.49985908,0.509891975,2.148499311,1.204047313,2.567795322
6,2853,2853,City of Westminster,Inner,0.791835434,81570.71462,307.819544,23.78977957,13.36519281,0.491718062,0.754176249,1.25114159,0.929930646
4,2836,2836,Tower Hamlets,Inner,0.991514489,86061.47144,298.4007959,25.99889095,14.26741323,0.483645991,0.599828602,1.651075163,0.973263115
106,3439,3439,Camden,Central,0.427238013,92775.62401,298.2288869,24.85006707,14.23907475,0.513042071,3.643639965,1.368588221,4.986221497
99,3432,3432,Camden,Central,0.230969145,91000.8147,292.4688618,25.28660951,14.4068597,0.503654618,1.702459623,1.449184419,2.47387571
126,3459,3459,Islington,Central,0.089892886,93081.18005,290.4036831,27.54474814,15.18910765,0.5032,0.965187601,1.611204618,1.549214113
119,3452,3452,Lambeth,Central,0.371580992,94342.88171,285.1901431,28.29718346,15.43307024,0.50908284,0.840913512,1.521958335,1.351372329
98,3431,3431,City of Westminster,Central,0.464397165,80083.73469,283.5116771,23.34544726,13.60054508,0.498547855,1.276716309,1.188615752,1.519920107
28,3307,3307,City of Westminster,Inner,0.53027919,85566.35631,277.4759767,25.54363446,14.27977133,0.524151786,0.382978195,1.407350273,0.538709698
85,3418,3418,Southwark,Inner,0.656082569,96143.45954,271.5128621,28.60504945,15.24237708,0.507546125,0.365117713,1.409896531,0.526421429
120,3453,3453,City of Westminster,Central,0.573139973,84616.09514,265.7455801,23.34524511,13.62498838,0.497942584,5.206120804,1.304703665,6.795254644
50,3383,3383,Islington,Inner,0.936562465,89715.4005,263.6169704,27.33526909,14.48832434,0.517803347,1.046546852,1.764481681,1.846035452
84,3417,3417,Lambeth,Central,0.546524569,84985.39188,262.640929,24.51106396,13.26520503,0.493333333,0.491155362,1.542879157,0.763228581
67,3400,3400,Southwark,Inner,0.288193106,93857.39836,259.2241062,29.78703955,15.48599078,0.510236967,0.519149058,1.415982157,0.745558492
66,3399,3399,City of Westminster,Central,0.014264349,46749.92599,257.410166,13.71915277,8.808955862,0.522222222,0.866744873,1.213617933,1.055691519
124,3457,3457,Southwark,Central,0.61692394,80387.68468,256.0125293,23.64984414,12.54926647,0.510038986,0.67531173,1.566284917,1.05699817
0,2823,2823,City of Westminster,Inner,1.000368287,78925.41718,255.9985188,23.11844168,12.59222686,0.527256236,0.450551017,1.491073217,0.687213606
12,3118,3118,Camden,Inner,1.000375607,83026.68749,255.9255644,26.17734264,14.37963936,0.514306418,0.962646744,1.65948886,1.628382574
38,3371,3371,Lambeth,Central,0.241393302,86136.64487,251.3245938,28.86309634,15.35281896,0.505394737,0.68813255,1.794067059,1.234117763
23,3275,3275,Camden,Inner,0.306505629,69231.81922,247.8213354,22.02166533,12.29665317,0.480645161,0.728157894,1.681335261,1.255324789
5,2852,2852,Kensington and Chelsea,Inner,0.208535634,82303.8057,245.1677568,26.21857195,14.0157871,0.522258065,0.80142179,1.205894848,0.955413087
20,3173,3173,Lambeth,Inner,0.946005604,83479.91674,237.0296081,27.78183804,14.54882365,0.498284024,0.52945431,1.685514435,0.889330818
65,3398,3398,City of Westminster,Inner,0.986112314,71905.17169,234.9679498,22.10097412,11.69778848,0.530345679,0.210724232,1.069276904,0.239832861
37,3370,3370,City of Westminster,Central,0.815311616,70738.66918,226.2300862,23.32252268,14.1670922,0.512957746,1.614949361,1.114895044,1.778330192
25,3292,3292,Tower Hamlets,Inner,1.000323825,73792.74049,216.1071529,22.73019121,12.09017078,0.493136594,1.578506874,1.472621109,2.29520969
