TARGET_FID,score_perc,accessibility,WDI,HSA
0,0.5272562358276645,0.45055101747845805,1.4910732170657597,0.6872136062879819
1,0.49,0.34736489800000003,1.0601772855,0.37249363375
2,0.5582767624020888,0.6161333029373368,0.774570084156658,0.4211203861070496
3,0.0,0.0,0.0,0.0
4,0.48364599092284416,0.5998286015763994,1.6510751631966718,0.9732631147019667
5,0.522258064516129,0.8014217901612902,1.2058948480645162,0.9554130868494624
6,0.49171806167400883,0.754176248524229,1.2511415903436123,0.9299306462621145
7,0.5223791821561339,0.6847409436022305,1.2445206354200744,0.8684811798252787
8,0.52,0.8600185070942029,0.797388542094203,0.6746960761449275
9,0.0,0.0,0.0,0.0
10,0.5629577464788732,0.3206033761056338,1.4191632269929577,0.47813630857746475
11,0.5379545454545455,0.4795394542227273,1.2253141341727274,0.5874820659636364
12,0.5143064182194617,0.9626467441966873,1.6594888603291926,1.6283825737494824
13,0.521643192488263,0.46199077572769953,1.0358909585539906,0.47366235132394363
14,0.5631034482758621,0.3203970255103448,1.222572896813793,0.4162768484275862
15,0.508888888888889,1.0032012276666666,1.2413223927777777,1.2841636246666668
16,0.5310367892976589,0.30619489771906355,1.2601867362307693,0.3771249789765886
17,0.5219047619047619,0.28470857928571425,1.2867027687142856,0.3647790233809524
18,0.5499999999999999,0.158314037,1.0456963890344828,0.16661095644827587
19,0.47190476190476194,0.2138938028095238,1.8352129075714285,0.3926273521428571
20,0.49828402366863905,0.5294543098875739,1.6855144351065088,0.8893308177751479
21,0.518348623853211,1.386289863174312,1.2100566338073393,1.6615226072568807
22,0.5148484848484849,0.889390811939394,1.6549433970545455,1.4947759731454546
23,0.4806451612903226,0.7281578938516129,1.6813352608774192,1.255324788612903
24,0.49921568627450985,1.0553053930678733,1.228879935535445,1.1680081561855202
25,0.4931365935919056,1.578506874416526,1.4726211094064081,2.295209690370995
26,0.5237552742616034,0.41679508159282697,1.1689040217088609,0.48459008276793253
27,0.5195256916996047,0.625819190577075,1.3113318631976285,0.827825221284585
28,0.5241517857142857,0.3829781953348214,1.407350272517857,0.5387096982232144
29,0.4580573248407644,0.1786852527611465,1.526396903643312,0.27557018904458597
30,0.48878787878787877,0.3103258102121212,1.6362137282272726,0.5105554460909091
31,0.5508064516129032,0.5509696458225806,1.4663429624838709,0.8020244788387096
32,0.536,2.2446931826,1.3954770196,3.1314378838
33,0.5072972972972973,1.5385150248108108,1.4954016682702702,2.294723485364865
34,0.46,1.398220187,1.596724103,2.231110452
35,0.4809090909090909,1.3967775455454545,1.526647844,2.134232662727273
36,0.5511864406779661,0.33552276390960456,1.1210259670508476,0.37375629124293785
37,0.5129577464788733,1.6149493611760564,1.1148950438474179,1.7783301916361502
38,0.5053947368421052,0.6881325497763158,1.7940670590394736,1.2341177628026316
