FID,CO2,NOx,PM10,PM2.5,Shape_Area
87,71440.27969,205.5078196,22.92894363,12.30142358,0.349761725
88,6664.099013,40.85871027,4.971712983,3.760349195,0.002641848
89,371288.4816,1080.617092,105.9137411,55.82620323,0.017229981
90,18481.64275,63.56209561,7.022188722,4.107362628,0.086787602
91,164440.0902,445.4184473,41.3256988,21.89188281,0.249690231
92,34626.21249,120.2378252,8.635114758,5.329726205,0.016676424
93,112533.8099,350.6931319,37.50403957,20.95788725,7.41E-05
94,52607.81369,169.2371557,15.89342643,8.94454811,0.2853185
95,143459.7025,738.0011799,45.97714798,29.3646271,0.079209759
96,101401.5398,1068.208895,42.08481058,36.85301789,0.245304751
97,311779.2165,966.0423451,82.13711673,44.19651915,0.53566871
98,80130.6019,283.6775959,23.35910965,13.6085045,0.464125546
99,91051.1628,292.6306763,25.30059985,14.41483059,0.230841427
100,169919.3925,476.5570277,46.58838979,24.85017691,0.249194702
101,28833.23234,99.37568134,9.195636674,5.412392529,0.178027643
102,233104.5841,796.2758589,66.30877765,35.53768667,0.661993252
103,51025.27352,157.9738491,16.22295519,9.071405296,0.304495693
104,126119.7879,663.5843255,38.62056592,25.74749129,0.453578991
105,287211.2856,1871.747523,93.13506537,68.74525986,0.277799257
106,92826.07763,298.391071,24.86358114,14.2468183,0.427005797
107,58377.97443,200.1114701,18.79199954,10.86894436,0.114611531
108,882070.9641,2292.869716,222.6922432,117.9133136,0.002441629
109,103507.8388,330.0156331,28.57832694,16.29988017,0.546269604
110,675131.2167,1992.786476,194.4027275,99.99965232,0.018982765
111,56208.33193,172.5906233,17.43062335,9.385719358,0.980818349
112,69062.24389,203.575961,22.18351242,11.83624756,0.686456387
113,988.4073966,9.826277808,0.964797504,0.759908977,0.007005668
114,1074339.865,3812.54813,327.0356184,173.5098401,0.001817966
115,98053.95092,313.1552809,27.80461494,16.50947865,0.997984664
116,115164.9689,445.2336222,34.93020259,19.76395551,0.194673621
117,502267.9233,1924.639858,122.6428478,66.72967082,0.023371646
118,54013.30593,188.3682852,17.17874034,9.919709196,0.976430481
119,94395.21657,285.3483468,28.31288077,15.44163143,0.371374979
120,84666.6997,265.904509,23.35920671,13.63313679,0.572797412
121,101501.3039,335.9392699,31.05073272,17.6681553,0.62002594
122,32896.26988,105.8390175,10.86873842,6.381860323,0.023865475
123,906563.7437,2541.891958,226.541762,115.8446674,0.011848019
124,80432.68325,256.1558374,23.66308261,12.55629116,0.616578798
125,114539.4127,352.4967255,29.98013277,17.09604284,0.803602602
126,93129.98341,290.5559445,27.55919012,15.19707144,0.089845779
127,91737.96107,329.2977551,25.3357901,14.67745332,0.90515513
