FID,CO2_km2,NOx_km2,PM10_km2,PM25_km2,Shape_Area,score_perc,accessibility,WDI,HSA
115,98053.95092,313.1552809,27.80461494,16.50947865,0.997984664,0.509891975,2.148499311,1.204047313,2.567795322
33,102598.8958,316.4432733,29.22336374,16.322592,0.064722479,0.507297297,1.538515025,1.495401668,2.294723485
109,103507.8388,330.0156331,28.57832694,16.29988017,0.546269604,0.479535398,2.006114131,1.507474094,3.007590977
67,93910.67982,259.3712639,29.80394921,15.49478195,0.288029596,0.510236967,0.519149058,1.415982157,0.745558492
119,94395.21657,285.3483468,28.31288077,15.44163143,0.371374979,0.50908284,0.840913512,1.521958335,1.351372329
38,86186.03136,251.4686909,28.87964501,15.3616215,0.241254978,0.505394737,0.68813255,1.794067059,1.234117763
85,96198.20141,271.6674553,28.6213365,15.25105574,0.655709223,0.507546125,0.365117713,1.409896531,0.526421429
126,93129.98341,290.5559445,27.55919012,15.19707144,0.089845779,0.5032,0.965187601,1.611204618,1.549214113
127,91737.96107,329.2977551,25.3357901,14.67745332,0.90515513,0.480434153,1.899759817,1.515768838,2.828811375
20,83527.17884,237.1638023,27.79756671,14.55706046,0.945470326,0.498284024,0.52945431,1.685514435,0.889330818
50,89764.01582,263.7598202,27.35008163,14.49617533,0.936055232,0.517803347,1.046546852,1.764481681,1.846035452
99,91051.1628,292.6306763,25.30059985,14.41483059,0.230841427,0.503654618,1.702459623,1.449184419,2.47387571
12,83074.1552,256.0718811,26.19230864,14.38786044,0.999804003,0.514306418,0.962646744,1.65948886,1.628382574
28,85613.80955,277.6298587,25.55780041,14.28769058,0.529985272,0.524151786,0.382978195,1.407350273,0.538709698
4,86107.18108,298.5592849,26.01269968,14.27499105,0.990988148,0.483645991,0.599828602,1.651075163,0.973263115
106,92826.07763,298.391071,24.86358114,14.2468183,0.427005797,0.513042071,3.643639965,1.368588221,4.986221497
37,70778.45293,226.357319,23.33563937,14.17505984,0.814853339,0.512957746,1.614949361,1.114895044,1.778330192
5,82351.89072,245.3109931,26.23388984,14.02397566,0.208413871,0.522258065,0.80142179,1.205894848,0.955413087
120,84666.6997,265.904509,23.35920671,13.63313679,0.572797412,0.497942584,5.206120804,1.304703665,6.795254644
98,80130.6019,283.6775959,23.35910965,13.6085045,0.464125546,0.498547855,1.276716309,1.188615752,1.519920107
6,81617.04881,307.9943932,23.80329275,13.37278457,0.791385907,0.491718062,0.754176249,1.25114159,0.929930646
84,85033.62474,262.789989,24.52497504,13.2727336,0.546214569,0.493333333,0.491155362,1.542879157,0.763228581
0,78971.53566,256.1481063,23.13195048,12.59958487,0.999784083,0.527256236,0.450551017,1.491073217,0.687213606
124,80432.68325,256.1558374,23.66308261,12.55629116,0.616578798,0.510038986,0.67531173,1.566284917,1.05699817
23,69270.97367,247.9614922,22.03411981,12.30360762,0.306332381,0.480645161,0.728157894,1.681335261,1.255324789
87,71440.27969,205.5078196,22.92894363,12.30142358,0.349761725,0.551638655,0.431438117,1.442938422,0.621939303
