FID,Rail30,Rail25,Rail19,Rail16,Rail13,Road30,Road25,Road19,Road16,Road13,River30,River25,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Shape_Area
46,2.08E-05,2.07E-05,0.0000207,0.000012,0.0000218,0.808038459,0.948744527,1.103995555,1.639948993,1.766454776,0.068893134,0.066004759,0.057967848,0.05472,0.06077,0.00163226,2.08E-05,0,0.0226677,0.045945434,0.00028,0.034540891,0.03526707,0.105303759,0.039700852,0.183405911,0.190897202,0.044709626,0.006553945,0.01768946,0.065680921,0.007234567,0.020108566,0.004671418,0.025226271,0.027047999,0.001632544,2.07E-05,0,0.023905229,0.04181953,0.00028,0.076503656,0.013585479,0.159838412,0.042042032,0.193597936,0.259407841,0.006739195,0.005167112,0.018005549,0.068845391,0.018896612,0.012166912,0.010551661,0.036059777,0.027336959,0.001714147,0.0000207,0,0.02685483,0.030833019,0.00028,0.144524496,0.001679223,0.159433704,0.045517406,0.204856712,0.246723375,0.001586966,0.002591788,0.016497681,0.076144235,0.038095609,0.000810691,0.058756115,0.075121727,0.031655825,0.009744944,0.000012,0,0.02109,0.03335,0.00028,0.293114199,0.000888491,0.323981011,0.022524119,0.234682918,0.410104724,0.000492625,0.003858635,0.03014754,0.213816934,0.066464513,0.039873286,0.009288364,0.0000218,0,0.02278,0.03771,0.00028,0.304427692,0.000178316,0.346710237,0.024591227,0.252506337,0.438763615,0.000155515,0.005532028,0.034240048,0.237342816,0.072858554,0.04914839,0.203818886
47,0,0,0,0,0,0.208631231,0.242662867,0.265524881,0.381114532,0.421380691,0.600968558,0.550857187,0.416764552,0.44178,0.50004,0.003392515,0,0,0.025207381,0.575481177,0.00028,0.00683696,0.007704636,0.020105325,0.003955273,0.051881698,0.043657955,0.013239811,0.001553373,0.008677424,0.02190001,0.001662614,0.005118001,0.00102728,0.008300393,0.013010479,0.003393077,0,0,0.026774261,0.523802926,0.00028,0.016096673,0.003104652,0.031005652,0.004214382,0.055208896,0.061148198,0.002688285,0.001247785,0.008958884,0.023236707,0.004641508,0.003426642,0.002349597,0.012147169,0.013187837,0.003608755,0,0,0.030318326,0.386166226,0.00028,0.030752138,0.000651324,0.026888272,0.004538049,0.058488685,0.050675253,0.000847682,0.000645587,0.007341714,0.027243116,0.007339247,0.000181873,0.011709771,0.023030254,0.015191917,0.010438758,0,0,0.02381,0.41769,0.00028,0.059173834,0.000449934,0.048990598,0.003245877,0.063742981,0.079284199,0.000256624,0.0006239,0.008949797,0.050625597,0.058856456,0.006914736,0.009944683,0,0,0.0274,0.47236,0.00028,0.057254634,2.97E-05,0.057818379,0.003546149,0.068953793,0.09367897,2.55E-05,0.000906168,0.010175357,0.056661581,0.064569519,0.007760934,0.146126449
48,0,0,0,0,0,0.648887506,0.760780871,1.046362965,1.240438173,1.334711213,0,0,0,0,0,0,0,0,0,0,0,0.035191438,0.036421609,0.109116877,0.024170342,0.104178925,0.139418112,0.03246269,0.004818836,0.014185781,0.042520355,0.004124189,0.011546557,0.002684887,0.010361108,0.077685799,0,0,0,0,0,0,0.075306678,0.013596464,0.160763012,0.02547909,0.109633731,0.189956408,0.004807752,0.003813288,0.01434795,0.04363263,0.011248378,0.007279522,0.006350897,0.016226059,0.078339014,0,0,0,0,0,0,0.167314591,0.001937133,0.192381499,0.032494427,0.136748111,0.224165131,0.001371317,0.002384103,0.016169158,0.057692911,0.027919865,0.000596518,0.043368358,0.051280916,0.090538928,0,0,0,0,0,0,0.238997164,0.000718442,0.261777184,0.018856022,0.11449366,0.352257364,0.000449377,0.003520179,0.032368092,0.069333027,0.050728997,0.096938665,0,0,0,0,0,0,0.255732213,0.00014789,0.287511136,0.020433827,0.122208007,0.373196222,0.00014308,0.005090285,0.037739119,0.075542545,0.050644809,0.106322081,0.217840869
49,0,0,0,0,0,0.298643926,0.34553665,0.445765739,0.456450055,0.486285594,0,0,0,0,0,0,0,0,0,0,0,0.011586873,0.013607913,0.03546645,0.002836258,0.030928889,0.052679785,0.016069911,0.001885544,0.014108444,0.023597347,0.004053359,0.012648209,0.002531823,0.015475264,0.061167857,0,0,0,0,0,0,0.026623229,0.005457637,0.054443078,0.002901179,0.0315577,0.073995532,0.003274712,0.001520151,0.014318859,0.023946141,0.011104983,0.008312295,0.005684518,0.02076193,0.061634705,0,0,0,0,0,0,0.059285943,0.001407222,0.058090727,0.00334531,0.034479983,0.083039843,0.001405443,0.001070379,0.014043115,0.024754472,0.024093721,0.000603541,0.038860566,0.032342903,0.068942572,0,0,0,0,0,0,0.09436323,0.000762375,0.082943751,0.002687983,0.038386546,0.096696137,0.000397133,0.000965773,0.017133366,0.027379697,0.048405342,0.046328722,0,0,0,0,0,0,0.090661595,5.07E-05,0.098600895,0.002792069,0.039413837,0.104185923,3.91E-05,0.001389965,0.019606432,0.029117813,0.044512705,0.055914589,0.407246865
50,0,0,0,0,0,1.693564261,2.013976527,2.595458216,3.132696374,3.347698124,0.00344,0.00344,0.00344,0.00344,0.00344,0,0,0,0,0,0.00344,0.088071512,0.089581281,0.268598742,0.037995156,0.175943645,0.33048942,0.076186237,0.011318261,0.034029369,0.103237994,0.016469992,0.045742334,0.010660465,0.056257306,0.348982547,0,0,0,0,0,0.00344,0.197054027,0.034784784,0.411668632,0.040135069,0.185971831,0.45227362,0.011308206,0.008988708,0.035071439,0.104335382,0.044400136,0.028486357,0.02493191,0.082212306,0.352354119,0,0,0,0,0,0.00344,0.405793085,0.004442343,0.442795723,0.043268639,0.194809711,0.49253028,0.002892683,0.005050444,0.035116071,0.133228386,0.093936548,0.001987544,0.144689568,0.186564511,0.408352681,0,0,0,0,0,0.00344,0.648253911,0.0018632,0.6793161,0.05885179,0.300119985,0.663552332,0.00079178,0.00620173,0.059995464,0.077463831,0.137204778,0.499081475,0,0,0,0,0,0.00344,0.69199509,0.000377495,0.733941319,0.061341589,0.307431256,0.710549215,0.000247582,0.008806964,0.068792698,0.081072301,0.147228606,0.53591401,0.936055232
51,0,0,0,0,0,0.064541781,0.074224624,0.094054841,0.082629999,0.090649071,0,0,0,0,0,0,0,0,0,0,0,0.002223353,0.002529993,0.006617399,0.000693241,0.008258772,0.010208382,0.003034496,0.000356059,0.002564575,0.004238396,0.000979691,0.002931212,0.000592035,0.001971873,0.017342304,0,0,0,0,0,0,0.005106578,0.001004929,0.010058826,0.000752577,0.008955562,0.014559392,0.000625932,0.000290576,0.002599836,0.004295128,0.002592287,0.001859697,0.001282855,0.002687371,0.017553079,0,0,0,0,0,0,0.011877855,0.00026221,0.010856054,0.000704303,0.008166756,0.015906949,0.000250801,0.000190996,0.002464424,0.003992523,0.005032,0.000120209,0.00777987,0.00648443,0.019965462,0,0,0,0,0,0,0.016698326,0.000124493,0.013570846,0.000306251,0.005541355,0.015886051,5.34E-05,0.000129787,0.001931116,0.00177786,0.011937392,0.01467313,0,0,0,0,0,0,0.016511342,8.31E-06,0.016168194,0.000321944,0.005716843,0.019143083,5.39E-06,0.000191867,0.002213706,0.001922707,0.012511964,0.015933713,0.063741711
52,0,0,0,0,0,0.064199211,0.073192374,0.115800921,0.236058173,0.264816872,0,0,0,0,0,0,0,0,0,0,0,0.001083085,0.001239902,0.003240328,0.000236606,0.002943577,0.007458341,0.002238842,0.000262691,0.003195857,0.010083796,0.00045531,0.001386328,0.000279352,0.011730511,0.018364685,0,0,0,0,0,0,0.002415285,0.000478804,0.004788725,0.000251962,0.003131277,0.010455496,0.000454469,0.000210967,0.003168544,0.010565247,0.001217828,0.000889073,0.000611987,0.015985589,0.018567122,0,0,0,0,0,0,0.006389279,0.000143412,0.005923326,0.000433398,0.005339058,0.013679917,0.000222038,0.000169114,0.003411695,0.015337428,0.002936952,7.22E-05,0.004650466,0.035753199,0.021339468,0,0,0,0,0,0,0.02013846,0.00016407,0.017878054,0.000166722,0.011489992,0.035005256,0.000111309,0.000270592,0.004699516,0.056261493,0.065817549,0.024055161,0,0,0,0,0,0,0.019885276,1.13E-05,0.021948673,0.000184285,0.012409473,0.044205276,1.15E-05,0.000410089,0.005554826,0.064077167,0.070388973,0.025730018,0.034324443
53,0,0,0,0,0,0.008894787,0.009727231,0.013836765,0.006040891,0.006739178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250851,0.001061668,0,0,0,0.001570335,0.006011933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266242,0.001069556,0,0,0,0.002340851,0.006050583,0,0,0,0,0,0,0.000104463,0,0,0,0,9.69E-05,0,0,0.000276814,0.001559113,1.21E-05,0,0,0.005179151,0.006608194,0,0,0,0,0,0,0.001040746,8.09E-06,0.000881202,1.32E-05,0.000289213,0.001093024,3.46E-06,8.40E-06,3.83E-05,0,0.002665308,0,0,0,0,0,0,0,0.0010571,5.64E-07,0.001096344,1.35E-05,0.000286028,0.001230089,3.20E-07,1.14E-05,4.58E-05,0,0.002998043,0,0.001519186
54,0,0,0,0,0,0.001901875,0.002330026,0.004226301,0.00289152,0.003308343,0,0,0,0,0,0,0,0,0,0,0,5.13E-05,5.76E-05,0.000149952,9.71E-06,0.000196338,0.00069515,0.000193191,2.27E-05,0.000110026,3.73E-05,3.34E-05,9.51E-05,1.90E-05,0.000231286,0,0,0,0,0,0,0,0.000128785,2.46E-05,0.000245635,9.56E-06,0.000193176,0.000987317,3.93E-05,1.82E-05,0.000112883,3.75E-05,9.13E-05,6.23E-05,4.26E-05,0.000336809,0,0,0,0,0,0,0,0.000398526,8.14E-06,0.000336473,1.92E-05,0.000378924,0.000785374,1.01E-05,7.72E-06,0.000123601,4.25E-05,0.000243718,5.48E-06,0.000353213,0.00151329,0,0,0,0,0,0,0,0.000509033,3.83E-06,0.000416601,2.92E-05,0.000222779,0.000769508,1.56E-06,3.79E-06,4.06E-05,7.78E-05,0.000816852,0,0,0,0,0,0,0,0.000492005,2.50E-07,0.000485612,3.08E-05,0.000232808,0.001053411,1.55E-07,5.50E-06,4.55E-05,8.54E-05,0.000876903,0,0.004799424
55,0.000289209,0.000286913,0.01719825,0.017391534,0.010400617,2.114599737,2.501537418,3.426515763,3.532784239,3.896107599,0,0,0,0,0,0,0.000289209,0,0,0,0,0.101668932,0.104411759,0.312906989,0.06397339,0.280426522,0.4281845,0.099080673,0.014715343,0.049598052,0.119900103,0.023400093,0.064887088,0.015107458,0.118192343,0.31814649,0,0.000286913,0,0,0,0,0.226508986,0.04051092,0.47917787,0.068700024,0.300079033,0.552693524,0.013886175,0.011027318,0.050726516,0.122549551,0.062981059,0.040347786,0.035272498,0.175951113,0.321125044,0,0.000286913,0.016911337,0,0,0,0.465116857,0.005267193,0.522880466,0.09049089,0.382607561,0.603645571,0.003609311,0.006273565,0.052450472,0.150830701,0.13362618,0.002814935,0.204986732,0.431027529,0.3708878,0,0.00018879,0.017202744,0,0,0,0.68173254,0.002048135,0.747104251,0.05457624,0.35780103,0.688763311,0.000837236,0.006558921,0.075295294,0.1127476,0.283122122,0.52219756,0,0.000198907,0.01020171,0,0,0,0.743871955,0.000430671,0.837561423,0.061418717,0.39477066,0.753888789,0.000270446,0.009621437,0.08953925,0.129428158,0.311703109,0.563602984,0.594248744
