FID,Rail30,Rail25,Rail19,Rail16,Rail13,Road30,Road25,Road19,Road16,Road13,River30,River25,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Shape_Area
68,0,0,0,0,0,54.4701875,77.38080851,134.343106,138.17743,146.2498904,0,0,0,0,0,0,0,0,0,0,0,2.612090457,0,9.133385243,1.923049707,11.86942332,10.9859324,0,0.292172,3.482565676,7.05041806,0.899091439,0,1.328615835,4.893443355,0,0,0,0,0,0,0,5.987690201,0,14.40833296,2.174406998,13.91333958,15.17194522,0,0.294507792,4.076144203,7.435805494,2.551947034,0,3.001230947,8.365458083,0,0,0,0,0,0,0,16.43891274,0,20.02681632,2.892115857,19.17516355,19.58408186,0,0.32472664,5.4579737,11.7325464,7.601844426,0,10.81254026,20.29638427,0,0,0,0,0,0,0,25.83267122,0,32.78885834,1.569330698,15.85551074,20.68563345,0,0.297482461,4.998294009,17.94352935,18.20611975,0,0,0,0,0,0,0,23.1396911,0,44.16341381,1.583199728,16.02778418,20.29389328,0,0.45466886,5.631074996,18.04010342,16.91606097,0,0.086681457
69,2.075030771,2.058562273,2.058562273,2.805112955,2.077651812,1192.139948,1677.146162,2176.739783,2629.214783,2595.650413,0,0,0,0,0,0,2.075030771,0,0,0,0,71.89320774,0,263.8870757,57.34296097,247.9202335,293.9875545,0,8.864521439,31.14140725,84.95940015,13.07258193,0,23.5954231,75.92522057,19.55036151,0,2.058562273,0,0,0,0,152.4719601,0,398.6501137,63.24586204,277.8076404,397.6833605,0,8.555803425,33.74722866,88.11688038,33.9563411,0,50.68188711,125.2503321,46.97875296,0,2.058562273,0,0,0,0,310.2628135,0,452.788275,69.99847247,301.7214559,421.9456131,0,5.972547722,33.14852979,105.3619836,69.97570576,0,94.57923562,206.0463731,104.9387776,0,2.805112955,0,0,0,0,472.7019854,0,775.9091269,119.7087741,377.763447,445.6150779,0,6.437028001,43.97311089,111.8864037,110.9267787,164.2930503,0,1.850814812,0.226837,0,0,0,443.2142232,0,842.574765,112.9024031,355.7731229,392.4830951,0,8.770010332,46.27681661,104.9237863,101.8941137,186.8380763,0.431369795
70,0,0,0,0,0,6.938157739,10.53316641,16.34372414,17.38971999,17.59198473,0,0,0,0,0,0,0,0,0,0,0,0.545369441,0,1.906928295,0.165891304,0.986611224,1.687637586,0,0.044882895,0.180791086,0.718960864,0.235112813,0,0.347433634,0.118538596,0,0,0,0,0,0,0,1.241871808,0,2.988348077,0.18892784,1.16749983,2.301016995,0,0.044665824,0.209731378,0.768187581,0.652913904,0,0.767862885,0.202140292,0,0,0,0,0,0,0,3.106245267,0,3.720220218,0.236120528,1.538030729,2.463711547,0,0.040747662,0.251020104,1.147294149,1.432837311,0,2.003647205,0.403849417,0,0,0,0,0,0,0,4.890664107,0,6.109152741,0.128139073,1.271594744,2.605507337,0,0.037410035,0.22991127,1.755061566,0.362279118,0,0,0,0,0,0,0,4.078132535,0,7.667314507,0.120225357,1.195480915,2.266928873,0,0.050743584,0.240868745,1.642156698,0.330133521,0,0.016160968
71,0,0,0,0,0,3966.529551,5728.348005,7573.520189,9426.646633,9931.568805,0,0,0,0,0,0,0,0,0,0,0,207.6682992,0,802.7424993,201.6933031,580.9918004,836.0409173,0,25.43270566,107.4924922,533.4104063,41.20413708,0,78.09942121,459.127086,92.62648355,0,0,0,0,0,0,457.153508,0,1253.301981,236.6455534,658.7625455,1081.409236,0,23.46928198,119.9210968,590.984585,113.5008048,0,177.7264837,793.1964354,222.2764936,0,0,0,0,0,0,897.7950869,0,1373.236989,252.6205596,705.7131834,1160.608928,0,16.47006555,117.5268049,660.595739,227.4417856,0,325.16262,1340.390661,495.9577656,0,0,0,0,0,0,1557.155837,0,2598.784272,270.3629653,985.0205039,1375.939425,0,19.89125663,158.9887429,1244.023832,522.9088557,693.570944,0,0,0,0,0,0,1567.070422,0,3023.742965,271.6067621,980.6465296,1303.975511,0,29.14170059,179.4629828,1246.705853,512.9907396,816.2253399,0.567011167
72,0,0,0,0,0,267.5115834,397.3464626,543.6924285,559.2285588,604.5513552,0,0,0,0,0,0,0,0,0,0,0,13.86347619,0,55.91968671,3.515198643,39.29365372,52.49571996,0,1.436603804,18.83683026,17.70472736,4.919222414,0,8.385346728,38.58112003,12.55999752,0,0,0,0,0,0,31.08779337,0,85.33451544,3.783721123,43.80964605,71.17508656,0,1.420149118,21.63124951,18.46795902,13.33681125,0,18.03006415,63.91687948,25.35258753,0,0,0,0,0,0,64.45731733,0,83.49873515,4.280268939,51.63581626,71.46526431,0,1.189274662,21.65017473,21.40024692,29.33687546,0,44.18526682,108.7670685,41.82611942,0,0,0,0,0,0,115.607897,0,151.830153,7.592819869,37.59311229,59.56117744,0,0.85649537,9.740363437,14.00760622,108.0506826,54.38825151,0,0,0,0,0,0,103.3385229,0,203.6269036,7.59803821,37.31677942,57.03645135,0,1.276717061,10.96033145,13.80856182,103.3406484,66.24840097,0.080378034
73,1.162585285,1.153358417,1.153358417,5.890349405,4.448541385,2557.101123,3745.476644,4670.30851,5422.729987,5756.779089,0,0,0,0,0,0,1.162585285,0,0,0,0,128.0343281,0,528.718258,123.7483823,371.7090166,669.6275014,0,20.62982529,70.37886634,216.8102353,30.47198404,0,60.37957275,252.7454146,83.84773827,0,1.153358417,0,0,0,0,291.1808473,0,847.1210326,142.5078389,415.0157686,838.7428591,0,18.43212318,79.6541313,229.999911,88.45382238,0,145.0980519,448.0267026,201.2435555,0,1.153358417,0,0,0,0,534.146139,0,858.6102903,148.8014075,432.9937594,758.1612681,0,10.82666656,73.79175887,266.6862898,181.5277581,0,267.8751317,682.4574144,454.4306261,0,5.890349405,0,0,0,0,838.1669971,0,1505.404898,150.7415306,605.9902269,721.336176,0,10.47210944,123.5852017,182.6518231,379.802214,904.5788097,0,4.448541385,0,0,0,0,835.540269,0,1726.472798,153.0751415,610.2244822,668.012264,0,14.97033303,139.3700212,186.0121051,371.6606972,1051.440978,0.115485984
74,0.204198622,0.202577998,0.202577998,1.034591825,0.781350007,2696.016946,3944.743178,5490.450849,5025.311995,5198.867339,0,0,0,0,0,0,0.204198622,0,0,0,0,108.5267993,0,409.6682766,50.55406869,451.9067528,612.9122229,0,16.66142846,181.5389555,292.5287057,51.67127278,0,82.80039058,307.8418408,129.4062317,0,0.202577998,0,0,0,0,247.9409599,0,639.1104925,57.28412966,526.0198125,812.2001648,0,16.10382798,213.3706733,307.9226762,147.3298773,0,187.764452,528.4872377,261.2088744,0,0.202577998,0,0,0,0,540.4725833,0,670.7362293,64.82277037,709.3315632,842.3747511,0,13.98579655,223.2103374,316.2601906,295.3623839,0,426.7805857,953.4917099,433.6219477,0,1.034591825,0,0,0,0,756.2451522,0,968.5514321,90.37735623,548.1833981,630.0130634,0,9.037449934,110.8655222,204.3253696,1202.633691,505.0795596,0,0.781350007,0,0,0,0,668.6289918,0,1283.701565,88.76843988,534.5522814,588.070963,0,13.13653365,123.6782971,200.3623316,1118.192642,579.7752933,0.780282343
75,0.602090861,0.597312362,0.597312362,0.004225081,0.005404497,1559.049968,2201.985583,2932.693259,2157.541854,2197.151363,0,0,0,0,0,0,0.602090861,0,0,0,0,62.84393584,0,262.8928319,106.5165374,318.478479,340.8182017,0,10.53385261,36.86674604,182.0170556,15.88307446,0,32.17264168,108.9849556,81.04165615,0,0.597312362,0,0,0,0,138.0216212,0,405.4053517,119.5442259,347.2520839,466.7908646,0,10.29522143,41.25742456,191.2382287,42.37752208,0,70.81297902,182.98852,186.0015403,0,0.597312362,0,0,0,0,256.8437722,0,419.8385166,131.8165465,382.4365081,514.773813,0,7.432663442,40.74902168,232.9953281,84.36060963,0,127.7825621,323.3511786,410.3127395,0,0.004225081,0,0,0,0,295.5394882,0,497.121361,72.84385155,279.5236192,372.0235913,0,5.383620594,64.87042749,75.74022458,81.73914298,412.7565275,0,0.005404497,0,0,0,0,286.4861082,0,556.6248078,68.87304539,262.4979274,330.5213301,0,7.393042753,70.61040241,71.58222937,78.61465799,463.9478117,0.041476672
76,2.140334942,2.123348157,2.123348157,0.015019473,0.019212107,2050.623397,2998.893817,3762.259517,3698.894561,3776.356149,0,0,0,0,0,0,2.140334942,0,0,0,0,58.58665813,0,224.2902506,50.76587362,423.80351,477.8522364,0,13.02935589,118.8279739,215.3033249,27.40664701,0,44.75673743,261.5141651,134.4866643,0,2.123348157,0,0,0,0,134.662879,0,352.0619763,57.96521509,500.2303089,677.7610392,0,13.47858425,141.0124864,226.3540039,78.02517593,0,101.4542244,444.4241023,271.4638216,0,2.123348157,0,0,0,0,272.2716784,0,342.9628306,57.83965099,520.6358549,642.4620578,0,10.68607026,136.8740575,210.8747953,159.5530576,0,233.4193886,707.7888835,466.8911911,0,0.015019473,0,0,0,0,542.3958307,0,686.7944035,48.86266154,429.0595455,554.4985845,0,7.956478636,109.3037834,93.89444463,669.2961846,556.8326436,0,0.019212107,0,0,0,0,468.0760119,0,888.6836813,45.9601734,399.7991841,510.9517608,0,11.42143951,118.3646344,88.20255701,611.1614904,633.7352167,0.656500274
77,0,0,0,0,0,6924.592211,10078.84522,12508.12351,14296.72593,15483.51629,0,0,0,0,0,0,0,0,0,0,0,208.0162257,0,844.0132257,127.6847163,1061.295151,1187.478119,0,32.53272086,381.0269688,1226.423946,72.08101258,0,122.7249682,1183.953866,477.3612904,0,0,0,0,0,0,459.9100517,0,1270.85692,148.7061247,1285.567923,1680.908809,0,33.57764115,445.9304338,1311.241752,200.4743797,0,271.1279145,2006.980673,963.5626022,0,0,0,0,0,0,872.9496194,0,1143.77641,137.8553408,1208.671955,1521.880228,0,25.3689635,424.6182625,1255.457457,377.2489059,0,570.574752,3370.561983,1599.159635,0,0,0,0,0,0,1767.905694,0,2424.870631,104.5927937,1044.411148,2128.021667,0,30.66868775,387.2808819,936.8426135,2773.681989,2698.449823,0,0,0,0,0,0,1574.311901,0,3233.497479,104.7260746,1033.826044,2031.149771,0,45.48488973,435.0020783,931.3313712,2649.586048,3444.600635,0.999718734
