FID,Rail30,Rail25,Rail19,Rail16,Rail13,Road30,Road25,Road19,Road16,Road13,River30,River25,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Shape_Area
77,0,0,0,0,0,0.932767197,1.107948388,1.631659231,2.500144337,2.968808834,0,0,0,0,0,0,0,0,0,0,0,0.031531933,0.043117027,0.092023842,0.010778795,0.1269364,0.149667229,0.044366051,0.005137941,0.052981473,0.072747248,0.010869473,0.039637055,0.008165409,0.121131798,0.123675523,0,0,0,0,0,0,0.075234237,0.016960841,0.135175391,0.011748879,0.138225859,0.215612393,0.009130631,0.004102526,0.056107437,0.075997774,0.030373464,0.026530977,0.018551745,0.166844489,0.127351745,0,0,0,0,0,0,0.178052853,0.00294558,0.125903278,0.011958081,0.13738968,0.244488266,0.00312508,0.002413754,0.052986083,0.092228472,0.055772122,0.001197558,0.080157733,0.494151428,0.148889262,0,0,0,0,0,0,0.369422985,0.002099562,0.236642143,0.012012304,0.149631776,0.433091945,0.00115511,0.002873641,0.050846674,0.085213639,0.904327823,0.252826735,0,0,0,0,0,0,0.404828377,0.000144428,0.290291915,0.014030824,0.172879199,0.574981711,0.00011963,0.004362394,0.064462205,0.105137617,1.034565268,0.303005266,0.999718734
78,0.000534842,0.000530597,0.000530597,0.001081346,0.001618412,0.223571288,0.268446492,0.33345062,0.43550085,0.520402067,0.03411431,0.031506568,0.024204191,0.02543,0.02916,0,0.000534842,0,0.002582994,0.030801316,0.00073,0.008252735,0.011107745,0.023700242,0.002719105,0.032088683,0.05372397,0.016315541,0.001888975,0.012970149,0.007581764,0.00345343,0.012654804,0.002605639,0.019700371,0.014808134,0,0.000530597,0,0.002741212,0.028035356,0.00073,0.020875507,0.004591535,0.036582923,0.00285275,0.033806395,0.07719907,0.003357859,0.001508059,0.013888379,0.007916553,0.0096635,0.008481553,0.005927746,0.026599662,0.015195,0,0.000530597,0,0.002801738,0.020672453,0.00073,0.049702426,0.000786855,0.033619673,0.002589513,0.030400841,0.072243527,0.000977931,0.000754944,0.011832357,0.008187866,0.017012445,0.000367584,0.024582308,0.062702665,0.017689685,0,0.001081346,0,0.00234,0.02236,0.00073,0.06267446,0.000341499,0.038411137,0.00213224,0.034059148,0.126032818,0.0003043,0.000756688,0.012490489,0.011731311,0.120225842,0.026340917,0,0.001618412,0,0.00315,0.02528,0.00073,0.068667424,2.31E-05,0.046482071,0.00246091,0.038855782,0.170448638,3.05E-05,0.001113546,0.015560375,0.014237491,0.132257477,0.030264662,0.3899535
79,0,0,0,0,0,0.066547895,0.077208988,0.083247152,0.155414955,0.185737052,0.047688382,0.043988706,0.03391163,0.03519,0.04029,0,0,0,0.004095805,0.043442577,0.00015,0.002157043,0.00297079,0.006361671,0.000748219,0.009356678,0.012031654,0.003617603,0.000419191,0.003227437,0.010446611,0.000764111,0.002814223,0.000583435,0.005051322,0.005997908,0,0,0,0.004297275,0.039541431,0.00015,0.005191228,0.001189306,0.009509687,0.00079366,0.009861832,0.016879173,0.000728264,0.000327532,0.003400723,0.011126214,0.002110794,0.001860093,0.001308706,0.006826428,0.006095351,0,0,0,0.004611253,0.029150377,0.00015,0.008923165,0.000163566,0.007016584,0.000820964,0.009864746,0.012903619,0.000181379,0.00014016,0.002505894,0.01335755,0.002738569,6.04E-05,0.004068395,0.013567223,0.00693494,0,0,0,0.00351,0.03153,0.00015,0.023850931,0.000160491,0.018026618,0.001350906,0.012961028,0.03550541,8.94E-05,0.00022236,0.00468888,0.018290092,0.040096011,0.000172805,0,0,0,0.00448,0.03566,0.00015,0.025161326,1.11E-05,0.022272155,0.001580178,0.014834555,0.047899404,9.19E-06,0.000334994,0.005988781,0.021921054,0.045595466,0.000128855,0.046721823
80,1.67E-05,1.66E-05,0.0000166,0.0000096,0.0000175,0.07824965,0.089428054,0.118819898,0.284362895,0.34374347,0,0,0,0,0,0,1.67E-05,0,0,0,0,0.002675895,0.003418345,0.008143399,0.002426332,0.012630568,0.016874608,0.004327528,0.000592048,0.001904033,0.00600563,0.00080925,0.00279778,0.000675359,0.003133601,0.011835275,0,1.66E-05,0,0,0,0,0.006022991,0.001313832,0.012033214,0.002619471,0.013539293,0.022730976,0.000675042,0.000449231,0.001980139,0.006273883,0.002146419,0.001723606,0.001523283,0.004268228,0.012128446,0,0.0000166,0,0,0,0,0.014200299,0.00014677,0.013077233,0.003160628,0.015494957,0.026063704,0.000162596,0.000238134,0.001955944,0.007866552,0.004641159,9.08E-05,0.00678674,0.010555725,0.014378628,0.001824125,0.0000096,0,0,0,0,0.036890054,8.84E-05,0.033367612,0.003994166,0.042171014,0.067191747,6.35E-05,0.000509452,0.005568884,0.047045547,0.030888744,0.016583771,0.00174282,0.0000175,0,0,0,0,0.044139996,1.94E-05,0.038964578,0.004893747,0.051517631,0.080294003,2.10E-05,0.000767384,0.007416012,0.058665205,0.035074774,0.021969718,0.025740998
81,8.38E-06,8.31E-06,0.00000831,0.00000481,0.00000875,0.269051306,0.314439561,0.370755043,0.642128397,0.766185464,0.49205442,0.451969666,0.33748717,0.36282,0.40942,0.002756997,8.38E-06,0,0.02933052,0.4624639,0.00026,0.008527091,0.011744442,0.025072888,0.004394287,0.052554542,0.057250031,0.016910417,0.001958566,0.012381728,0.037473797,0.002613728,0.009468204,0.001950638,0.012933446,0.013817499,0.002757476,8.31E-06,0,0.030775058,0.420934608,0.00026,0.020838288,0.004749489,0.037862673,0.00472592,0.056354697,0.081510638,0.003439768,0.001545802,0.013247136,0.039613783,0.007330536,0.006357658,0.00444656,0.018218301,0.014198313,0.002895308,0.00000831,0,0.0269,0.31032717,0.00026,0.043039857,0.000729099,0.031162374,0.005421589,0.063528308,0.073570822,0.000940976,0.000726747,0.01093732,0.050936796,0.011543746,0.000246172,0.016482976,0.044940811,0.01654745,0.020430673,0.00000481,0,0.0269,0.33566,0.00026,0.089845236,0.000555015,0.062469434,0.005656114,0.076672844,0.142041207,0.000395318,0.000983148,0.019845693,0.083076777,0.149194173,0.011393438,0.019484494,0.00000875,0,0.02956,0.3796,0.00026,0.099420241,3.96E-05,0.079626093,0.006674729,0.090056605,0.177367634,4.00E-05,0.001459805,0.026277541,0.101193126,0.169340186,0.014689828,0.299588286
82,0,0,0,0,0,0.562767495,0.675691704,0.940873938,1.533611574,1.769002146,0.080347555,0.076201487,0.062665592,0.05929,0.06578,0,0,0,0.026454525,0.05379303,0.0001,0.032569534,0.041376346,0.099963054,0.015286942,0.063782283,0.098307725,0.024325378,0.003455324,0.012965281,0.050098832,0.004711296,0.015405598,0.00376877,0.033142518,0.063608615,0,0,0,0.027139075,0.048962412,0.0001,0.072644241,0.015717251,0.14693021,0.016597083,0.069008143,0.142585817,0.003813264,0.002826632,0.013600744,0.052367013,0.013124848,0.009896108,0.008987744,0.042846337,0.064746268,0,0,0,0.026472007,0.036093585,0.0001,0.160824591,0.001445304,0.148359023,0.019753496,0.078664278,0.186559225,0.000930984,0.001640896,0.013876567,0.071755138,0.024441246,0.000443615,0.033420363,0.123673927,0.075085285,0,0,0,0.02015,0.03904,0.0001,0.27953234,0.000654076,0.245964501,0.026671034,0.130196303,0.348099123,0.000341541,0.00273741,0.026286855,0.156476264,0.188778445,0.127873681,0,0,0,0.02153,0.04415,0.0001,0.324195654,0.000137057,0.27519772,0.03095757,0.148695963,0.413961458,0.000111646,0.004070704,0.033543754,0.184459355,0.216335291,0.137335974,0.649998315
83,0,0,0,0,0,0.091600137,0.10754319,0.202391654,0.25528268,0.302552943,1.40E-06,1.49E-06,0,0,0,0,0,0,1.40E-06,0,0,0.003535815,0.004949698,0.010507469,0.000619569,0.011278727,0.014978314,0.004479344,0.000518695,0.003895677,0.006039154,0.001828974,0.006888291,0.001405452,0.007227639,0.013447321,0,0,0,1.49E-06,0,0,0.008356594,0.001931622,0.015315704,0.000699181,0.012685013,0.020722972,0.000885901,0.000397991,0.004068696,0.006418329,0.005075445,0.004577825,0.003171774,0.009530836,0.013705307,0,0,0,0,0,0,0.031366516,0.000528748,0.022533522,0.001009256,0.01710256,0.037227217,0.000479807,0.00037047,0.005112605,0.011137721,0.012325721,0.000272854,0.018164892,0.029460946,0.015298819,0,0,0,0,0,0,0.05767124,0.000328794,0.036969405,0.002393677,0.01586041,0.047796233,0.000123551,0.000307186,0.002930928,0.01351516,0.065044594,0.012341501,0,0,0,0,0,0,0.063375465,2.26E-05,0.045452058,0.002779265,0.018240763,0.064286722,1.28E-05,0.00046592,0.003725264,0.016321867,0.073403681,0.014466522,0.349637306
84,0.025508654,0.024062607,0.024062608,0.025462203,0.031524502,0.419689786,0.473690462,0.678753061,0.899033597,1.015978422,0.001373142,0.001405498,0.001365687,0.00133,0.00164,0,0.000855586,0.024653068,0.000503142,0,0.00087,0.012031325,0.017325323,0.036936523,0.003899128,0.045751589,0.073003331,0.022695885,0.002628284,0.019279855,0.050817135,0.004754482,0.018311687,0.003764266,0.024392442,0.084098531,0,0.000848796,0.023213812,0.000535498,0,0.00087,0.029022581,0.007043584,0.056074175,0.004123118,0.048342795,0.096577356,0.004315573,0.001938951,0.020247415,0.052684854,0.013256173,0.012236088,0.00853855,0.033144129,0.086145121,0,0.000848796,0.023213812,0.000495687,0,0.00087,0.078731362,0.001494829,0.063775842,0.005404661,0.061512493,0.111981204,0.001636381,0.001263709,0.021867712,0.069633322,0.029524759,0.000677358,0.045197384,0.087749373,0.098302673,0,0.000475158,0.024987045,0.00046,0,0.00087,0.125557143,0.000835753,0.09390043,0.005876278,0.061261976,0.155859473,0.000517254,0.001286839,0.030696057,0.104690372,0.235510287,0.083041736,0,0.000525392,0.03099911,0.00077,0,0.00087,0.129553381,5.64E-05,0.11322028,0.006647296,0.068184251,0.185700075,5.16E-05,0.001880407,0.038294293,0.12363372,0.241851932,0.106904852,0.546214569
85,0.003022208,0.0028899,0.002889901,0.002342782,0.002471836,0.591292156,0.693305249,0.963535181,1.274447079,1.463883712,8.22E-06,8.75E-06,1.20E-05,0.00001,0.00001,0,0.000874831,0.002147377,8.22E-06,0,0,0.032086859,0.039132615,0.094693554,0.020908038,0.09211738,0.133402654,0.032531097,0.004618851,0.014810367,0.033389953,0.00417227,0.014302772,0.003507301,0.017693329,0.053925116,0,0.000867888,0.002022013,8.75E-06,0,0,0.073339558,0.01507735,0.141144907,0.021798292,0.09683675,0.179845582,0.00473565,0.00350621,0.015386546,0.034997661,0.011028698,0.008727444,0.007942833,0.023905186,0.055032581,0,0.000867888,0.002022013,1.20E-05,0,0,0.176347064,0.001437999,0.147757743,0.024115345,0.10830556,0.233150474,0.001110036,0.001958044,0.016212771,0.048761982,0.026599643,0.000513099,0.038667303,0.073678916,0.064919201,0,0.000478331,0.001864451,0.00001,0,0,0.270118463,0.000597831,0.22507959,0.016965965,0.135727038,0.365482628,0.00034008,0.002725479,0.027436292,0.079646609,0.067155914,0.08317119,0,0.000604219,0.001867617,0.00001,0,0,0.311114815,0.00012323,0.247499225,0.019451566,0.154339727,0.433999146,0.000109637,0.003997097,0.034255408,0.093624481,0.072160698,0.093208681,0.655709223
86,0.002046621,0.001955084,0.001955084,0.001591874,0.001681822,0.116889289,0.138822154,0.194868236,0.272100443,0.324025104,0,0,0,0,0,0,0.000553989,0.001492631,0,0,0,0.004501154,0.006270013,0.013345233,0.001238556,0.014019966,0.031877785,0.009711075,0.00112435,0.005936326,0.005789785,0.001858062,0.006967377,0.001429501,0.008049054,0.004771052,0,0.000549593,0.001405491,0,0,0,0.011236057,0.002590676,0.020587533,0.001283539,0.014576558,0.044306119,0.001934465,0.000868812,0.006399362,0.005644706,0.00521825,0.004691339,0.003266414,0.011328436,0.004889891,0,0.000549593,0.001405491,0,0,0,0.025624141,0.000435145,0.018564683,0.002027101,0.021687024,0.04729182,0.000641282,0.000495172,0.006353413,0.007475501,0.009592793,0.000211795,0.014147525,0.034689118,0.005631723,0,0.000295903,0.001295971,0,0,0,0.050867117,0.000291528,0.032794718,0.001218436,0.028084658,0.073605487,0.00018414,0.000457914,0.008017636,0.020538799,0.051769839,0.004270173,0,0.000383651,0.001298171,0,0,0,0.055139581,1.99E-05,0.039915002,0.001413671,0.031934261,0.099585572,1.90E-05,0.000693511,0.010067213,0.024692982,0.05584005,0.004704366,0.344090501
