FID,TARGET_FID,score_perc,accessibility,WDI,HSA
17224,78,0.38,1.378035966,1.818047459,2.504327192
17225,78,0.46,1.236671006,1.833153287,2.26700752
17226,78,0.57,1.278093909,1.830785137,2.339902487
17227,78,0.46,1.215295523,1.842545729,2.239237576
17228,78,0.49,1.103138854,1.812159624,1.999063691
17229,78,0.6,1.152473735,1.867658458,2.15242732
17230,78,0.4,1.090717728,1.844832325,2.01195843
17231,78,0.51,1.075170393,1.770987013,1.904026224
17232,78,0.55,1.169007463,1.755083239,2.051523654
17233,78,0.51,1.166391995,1.750927154,2.042284584
17234,78,0.55,1.155359489,1.748986791,2.020657592
17235,78,0.49,1.165108157,1.743555353,2.031539191
17236,78,0.45,1.159873194,1.755469349,2.036159616
17237,78,0.46,1.083702718,1.750801443,1.897394338
17238,78,0.38,0.964944166,1.750526836,1.689626997
17239,78,0.46,1.065964431,1.765019702,1.881448223
17240,78,0.56,1.172454211,1.772584527,2.078256815
17241,78,0.44,1.167492424,1.738203511,2.029316435
17242,78,0.42,1.019787836,1.784911254,1.820231071
17243,78,0.39,0.893068504,1.720417672,1.536450836
17244,78,0.55,0.945340605,1.759642465,1.664627763
17245,78,0.43,0.998772759,1.717163572,1.715673844
17246,78,0.59,0.9688933,1.720883487,1.667435175
17247,78,0.59,1.037360611,1.711409018,1.775390225
17248,78,0.48,0.938658208,1.778893427,1.669632462
17249,78,0.32,1.042270664,1.779252306,1.854462482
17250,78,0.34,0.920108735,1.733413673,1.594929062
17251,78,0.53,0.914662815,1.780676664,1.628718729
17252,78,0.47,1.011768361,1.785978397,1.806996437
17253,78,0.31,0.971740261,1.727684138,1.678860235
17254,78,0.48,0.985725312,1.797855153,1.772191333
17255,78,0.59,0.871548481,1.710836382,1.49107685
17256,78,0.39,0.974498562,1.779563716,1.734182283
17257,78,0.56,1.052511273,1.815088918,1.910401547
17258,78,0.56,1.051885873,1.80292722,1.896246507
17259,78,0.53,1.162321533,1.824535263,2.120724715
17260,78,0.55,1.361141427,1.826556884,2.486239169
17261,78,0.47,1.664029753,1.844924259,3.070105949
17262,78,0.53,1.719070758,1.835243158,3.154912847
17263,78,0.47,1.555471247,1.836917956,2.856823891
17264,78,0.48,1.61973904,1.843440594,2.985922771
17265,78,0.48,1.462846584,1.843181299,2.696291466
17266,78,0.6,1.726403381,1.844852658,3.184959866
