FID,Rail19,Rail16,Rail13,Road19,Road16,Road13,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Rail30,River30,Road30,Rail25,River25,Road25,Shape_Area
72,0,0,0,1.454108464,2.129438838,2.562566926,0,0,0,0,0,0,0,0,0,0.025063908,0,0.021562515,0.002584925,0.051803137,0.077620675,0,0.000277179,0.010521361,0.019719717,0.007627432,0,0.002688458,0.080778309,0.008962354,0,0,0,0,0,0,0.08809644,0,0.035306708,0.002965574,0.057874942,0.151794659,0,0.000206192,0.013567963,0.023327362,0.030910942,0,0.005893247,0.207803277,0.018090678,0,0,0,0,0,0,0.275647175,0,0.045361871,0.007897321,0.119453056,0.296976408,0,0.000371719,0.017091646,0.071246847,0.112256198,0,0.013409827,0.464067531,0.030328864,0,0,0,0,0,0,0.515483741,0,0.12305814,0.03961099,0.230449682,0.284201947,0,0.001468026,0.009374639,0.107005196,0.604694328,0.214092151,0,0,0,0,0,0,0.461744237,0,0.238974174,0.055625609,0.288276692,0.261761543,0,0.002359614,0.011672673,0.121779615,0.571169066,0.549203703,0,0,0.309209969,0,0,0.635837982,0.080378034
73,0.005168067,0.02662249,0.024046669,10.72703805,18.06470169,23.43529256,0,0,0,0,0.005209412,0,0,0,0,0.182283928,0,0.151895511,0.120058369,0.593559252,0.791087857,0,0.003493789,0.036215177,0.40854473,0.040071618,0,0.015837238,0.411732667,0.065966031,0,0.005168067,0,0,0,0,0.595285986,0,0.260687522,0.14304065,0.671897252,1.415923716,0,0.002655388,0.046341142,0.469240907,0.17690131,0,0.038280299,1.127561031,0.158340904,0,0.005168067,0,0,0,0,1.820055461,0,0.357715864,0.354475153,1.283454178,2.506946331,0,0.003272703,0.061040458,1.031099383,0.594332747,0,0.068632281,2.221208828,0.424804658,0,0.02662249,0,0,0,0,3.11399032,0,0.824544831,0.875816674,3.894691573,2.475564799,0,0.011630035,0.11372309,1.451552077,1.321323766,3.98186453,0,0.024046669,0,0,0,0,3.1506835,0,1.311920497,1.214685949,4.900461478,2.236732009,0,0.017554224,0.140985261,1.682185382,1.277073998,7.503010259,0.005209412,0,2.820746167,0.005168067,0,5.106156106,0.115485984
74,0.000907729,0.004676023,0.004223601,14.45523921,19.7170443,23.24865231,0,0,0,0,0.000914991,0,0,0,0,0.189333149,0,0.165250851,0.027791566,0.428263383,0.945476297,0,0.003639822,0.109704824,0.332945958,0.078758581,0,0.028428746,0.646840842,0.095614773,0,0.000907729,0,0,0,0,0.677275829,0,0.271857769,0.034791588,0.512596366,1.806411656,0,0.002581218,0.14443014,0.398346433,0.333499517,0,0.064972817,1.711561254,0.193000189,0,0.000907729,0,0,0,0,2.182035076,0,0.345688444,0.107466835,1.447956558,3.547239357,0,0.004549987,0.182051915,1.083565157,1.095283273,0,0.131375721,3.98567121,0.342355678,0,0.004676023,0,0,0,0,3.240872494,0,0.742472307,0.446548786,3.255519145,2.996969452,0,0.015894079,0.116740129,1.544258088,5.734140001,1.623629822,0,0.004223601,0,0,0,0,2.861746218,0,1.398302581,0.615203154,4.025936377,2.706932997,0,0.02463642,0.147094709,1.748534225,5.28277158,4.437494055,0.000914991,0,3.052048791,0.000907729,0,6.151324776,0.780282343
75,0.002705686,0.0000166,0.000035,6.945291521,7.784383793,9.380719876,0,0,0,0,0.002727332,0,0,0,0,0.088601926,0,0.071187031,0.097003319,0.506223712,0.374748529,0,0.001527099,0.018130759,0.246101261,0.020116466,0,0.007518393,0.174935458,0.056083708,0,0.002705686,0,0,0,0,0.280454384,0,0.118448221,0.113656524,0.559005806,0.734485376,0,0.001299935,0.022965461,0.289854141,0.08178019,0,0.016708844,0.454488466,0.128264207,0,0.002705686,0,0,0,0,0.854500611,0,0.160868075,0.333793299,1.182514393,1.546645864,0,0.00191863,0.031782564,0.837305136,0.266455743,0,0.029698751,1.069337689,0.630470766,0,0.0000166,0,0,0,0,1.178911223,0,0.328219109,0.364198495,1.651609657,1.495253621,0,0.007782599,0.065163529,0.573692079,0.325757048,1.793796433,0,0.000035,0,0,0,0,1.145508781,0,0.504537213,0.486331079,1.999583529,1.302379115,0,0.010887436,0.079234101,0.615797206,0.309930872,2.926530545,0.002727332,0,1.662177662,0.002705686,0,2.801411555,0.041476672
76,0.009618275,0.000059,0.000124417,10.44016318,15.35942461,17.71086375,0,0,0,0,0.009695221,0,0,0,0,0.109386319,0,0.09559836,0.032024404,0.460121536,0.779294279,0,0.002841747,0.070543678,0.190190521,0.043772926,0,0.015645169,0.526876055,0.097459833,0,0.009618275,0,0,0,0,0.393180996,0,0.159111066,0.040360424,0.557462277,1.589150047,0,0.002189457,0.093748541,0.236120953,0.184821237,0,0.035626372,1.380983755,0.196724477,0,0.009618275,0,0,0,0,1.164463044,0,0.190525991,0.106723432,1.17055323,2.83737107,0,0.003593603,0.110349057,0.688635183,0.619319503,0,0.074346348,2.873871934,0.600410783,0,0.000059,0,0,0,0,2.470009716,0,0.590769376,0.244397628,2.533052159,2.828694455,0,0.015079246,0.112729563,0.692752255,3.17157959,2.700360622,0,0.000124417,0,0,0,0,2.129435983,0,1.104171962,0.322289779,3.011107743,2.540850271,0,0.023425259,0.137716136,0.767361368,2.881593284,4.792911965,0.009695221,0,2.423754828,0.009618275,0,4.869479602,0.656500274
77,0,0,0,33.92613037,54.24201212,68.83865827,0,0,0,0,0,0,0,0,0,0.341841678,0,0.293818288,0.10394647,1.436623033,1.682708282,0,0.005972191,0.216735865,1.899066827,0.105523549,0,0.037246696,2.263072339,0.372472763,0,0,0,0,0,0,1.182839097,0,0.470010933,0.130330636,1.76608279,3.429018772,0,0.004616026,0.284312494,2.233749191,0.437090978,0,0.083254917,5.929909935,0.751843168,0,0,0,0,0,0,3.384064771,0,0.540968212,0.263141015,2.861246276,5.964862842,0,0.007350061,0.334615341,4.579578316,1.355788418,0,0.161695071,13.18585112,1.286968928,0,0,0,0,0,0,7.042725834,0,1.571464988,0.545113695,6.646984162,8.029944877,0,0.038414383,0.354415821,7.910717198,11.78578441,10.31644675,0,0,0,0,0,0,6.312962217,0,2.993062119,0.762044365,8.11338589,7.271865629,0,0.060593705,0.436533377,8.414867494,11.03944639,23.43389709,0,0,8.75902798,0,0,16.70305894,0.999718734
78,0.011476409,0.037700014,0.064939944,6.207041794,8.44036551,9.817802338,0.904661592,0.95221,0.81193,0,0.01156822,0,0.065735283,0.832528061,0.01402,0.089495439,0,0.077218052,0.021485857,0.297631973,0.564519425,0,0.002093418,0.052735496,0.125954055,0.033220486,0,0.011765333,0.341598323,0.037694975,0,0.011476409,0,0.080882715,0.882749636,0.01402,0.3258147,0,0.130205275,0.02598577,0.353140978,1.150371844,0,0.001605296,0.069953735,0.15241167,0.13781308,0,0.026344807,0.886894944,0.076088005,0,0.011476409,0,0.099421025,0.791220566,0.01402,0.916951965,0,0.149089717,0.053869273,0.588861225,1.697506611,0,0.002146221,0.074143089,0.369424259,0.408122222,0,0.048964119,1.77023956,0.127723534,0,0.037700014,0,0.08238,0.85581,0.01402,1.098684095,0,0.262284748,0.089715496,1.304367012,2.07042167,0,0.011181397,0.080938279,0.754924745,1.722956954,1.044891113,0,0.064939944,0,0.08932,0.70859,0.01402,0.96372737,0,0.499273801,0.124485975,1.636300792,1.860365179,0,0.017576945,0.100544769,0.877124757,1.585588782,2.152813969,0.01156822,0.912283344,1.655412831,0.011476409,0.977652351,3.336630104,0.3899535
79,0,0,0,2.304572119,3.260606281,3.594546435,1.31623414,1.37043,1.15829,0,0,0,0.10153745,1.211118502,0.00295,0.024710557,0,0.020536075,0.01540133,0.232407157,0.143514786,0,0.000452416,0.014269164,0.509856761,0.007820037,0,0.002641952,0.102042857,0.008092405,0,0,0,0.123944939,1.284178235,0.00295,0.087013944,0,0.033475447,0.018277117,0.271304476,0.285013691,0,0.000351825,0.01864198,0.593016671,0.032052104,0,0.005840958,0.264582752,0.016334669,0,0,0,0.162255649,1.151028491,0.00295,0.195008322,0,0.028462323,0.025065702,0.300458764,0.332547859,0,0.00038016,0.017288234,0.879933209,0.071384253,0,0.007972357,0.418685201,0.027385735,0,0,0,0.12249,1.24499,0.00295,0.443235121,0,0.099451853,0.055458669,0.437866192,0.576644153,0,0.003261542,0.029611739,0.955985709,0.650179317,0.008911985,0,0,0,0.12452,1.03082,0.00295,0.39695707,0,0.186347934,0.079334959,0.567916237,0.526669045,0,0.005131612,0.038184953,1.14976722,0.628983496,0.015253909,0,1.315605952,1.081745497,0,1.411073174,1.625905633,0.046721823
80,0.000249072,0.000153933,0.000922682,2.354780602,10.93448421,12.80690222,0,0,0,0,0.000251065,0,0,0,0,0.030293579,0,0.024254692,0.028741023,0.178997468,0.16159971,0,0.000648477,0.007906967,0.168647433,0.008388809,0,0.003042829,0.056970987,0.019846463,0,0.000249072,0,0,0,0,0.095819218,0,0.039774564,0.03507617,0.208236788,0.310441462,0,0.000535672,0.009994443,0.203327399,0.033840605,0,0.006694193,0.148709154,0.046736917,0,0.000249072,0,0,0,0,0.299465055,0,0.056094752,0.085084864,0.370655556,0.579441949,0,0.000756987,0.012689528,0.410336141,0.116895804,0,0.012834441,0.298427216,0.112098308,0.280960608,0.000153933,0,0,0,0,0.796109461,0,0.206534373,0.259831749,2.525231112,1.313283876,0,0.006036905,0.039004874,4.733644469,0.547870228,0.506937167,0.281781434,0.000922682,0,0,0,0,0.836366135,0,0.338311199,0.339831162,2.97925365,1.184370226,0,0.009180598,0.050220992,5.061101096,0.515542609,1.49272455,0.000251065,0,0.689338436,0.000249072,0,1.139186586,0.025740998
81,0.000124739,0.0000771,0.000462093,8.572088015,16.75831632,18.72222798,12.32069132,13.24848,10.99679,0.525452225,0.000125737,0,0.733695341,11.95872855,0.00487,0.092561732,0,0.079338837,0.057129385,0.790886095,0.659795919,0,0.002273772,0.051176002,0.922408527,0.02550019,0,0.009007937,0.243731568,0.036589546,0.525449591,0.000124739,0,0.89640137,12.68012907,0.00487,0.329214448,0,0.130353505,0.070295874,0.958422934,1.328087246,0,0.00175108,0.067859898,1.122255227,0.106172359,0,0.020214148,0.652687479,0.073856676,0.511306586,0.000124739,0,0.95041,11.36541132,0.00487,0.825604289,0,0.131340556,0.134928682,1.505308816,1.807336472,0,0.002211926,0.069343486,2.451661896,0.282486786,0,0.033617032,1.204214036,0.124034039,3.935810824,0.0000771,0,0.95041,12.2932,0.00487,1.71955251,0,0.3799706,0.258013349,3.360584282,2.554333327,0,0.013039539,0.131883006,5.652246202,2.284066995,0.404626512,3.950493631,0.000462093,0,0.81351,10.17841,0.00487,1.573934429,0,0.737203027,0.355994294,4.185034651,2.246770707,0,0.019683453,0.172357242,6.345810682,2.172223649,0.913215847,0.000125737,12.69729389,2.970399511,0.000124739,13.58140044,4.861170873,0.299588286
